Medicine_ID,Counterfeit_Sales
HLZ81,2798.0088442386555
ECE94,4010.89172525203
SAD14,1513.2544290304609
EQV63,155.06805558751086
AIR10,-113.98994315526721
LIC37,1062.6186428202966
EXZ14,3971.3662892295574
UCB79,3526.3131121184474
IDJ12,4908.723080761587
KLQ71,1675.8004807973084
NZS82,2984.660274872283
TZV99,3963.618378352389
FWK70,2542.59948866021
LKL13,2643.281575974925
UFQ12,5164.002138085465
JPE14,2769.965405022828
SGZ11,2796.70949416742
JSD91,2685.2167243346344
KSO48,3120.0114811080784
LNA17,1040.211254742735
XQB11,1928.8230867052885
ZKO55,1918.4861982243028
DZC65,1123.4652366231458
CYS10,3272.8118559925447
IOW64,2496.5592900657653
JJQ10,3081.064814112538
ZVR52,1842.7531407373422
DRH86,1057.7984984529144
HWM68,2980.8750563082726
OHY21,2473.42761710307
EVB28,1190.3315959123483
WGT10,2496.150912476622
TXX50,2841.5480690515838
XHQ12,766.9425678090718
BUQ68,2863.4638362133833
GPT11,2462.2646781614685
DBA13,967.6537510636579
VLR10,2443.4890328360575
TXX50,2752.286350513449
PPB10,3938.1924424678978
IAS38,3345.5045740220453
FLZ93,2603.241574561708
DEE35,2416.1003682121327
DFS52,2968.8849897821206
JCW15,1581.3211179239945
CGG23,2195.447175321266
OJV12,2121.980962325209
MCQ36,3635.8685062834506
YJD12,3004.8745360051535
EOK39,-428.4629498451779
IYM95,3249.3359519671285
JBY12,3043.1795590582747
EVE11,3747.431054969376
IAS38,2941.7548563941814
LKG52,3454.9836090997
LCH20,711.7642017435646
DQX15,-760.5289062558229
CPF13,2990.0348188997214
MXD18,3917.767525466635
UJL53,3501.8777178344435
NQG12,3921.459123600435
RTM43,1337.0282390310394
VOR91,1190.5321221510578
BKR48,1850.378578502894
TYB54,4293.543540612058
JDT14,3159.7739543078915
YST51,1126.9856866782734
YRD11,755.6859271599872
IKQ41,3207.236331423196
KKJ43,1510.0263081518053
BFA10,3706.611133737752
JIV77,547.2514814143894
OIT11,2975.9023618575757
EVB28,910.1540129846971
IZD14,958.5066408866448
DVR14,1989.4898149042579
HAY13,2515.794055521835
KEB73,1389.241841013277
UHF16,2927.666485359439
KOE13,2769.6559413285286
OCC17,1951.7862228727768
XSM88,2813.607406494283
XKD99,2978.0248044242185
DZO55,2092.4887411529085
EPQ18,1134.1110428988109
WGC12,4442.553850364067
GTU11,3637.226566647436
DPL20,810.0887090304693
LCT65,773.9768163423346
KKK25,1728.0598027256856
OYJ39,2283.229188698833
PRC68,1625.6710318948376
BKA11,4018.456325978725
MCS10,3885.2421500563983
OMK35,2866.904772517582
INQ59,-1029.0251864731952
WAF13,4361.439214857775
QEG30,2111.8793600346057
HNB36,2260.138105324933
JFM47,3232.7514803116624
DHX14,2125.8568215082473
TIG24,1703.335074724597
WXI33,1275.5957107406375
QBL45,2294.9000597178615
DPT13,1650.166248693521
YHP10,2637.8683514770796
IHZ66,3241.6730342566484
LSZ55,1435.4571761173188
SLH10,1326.693924396712
DIX98,1920.5524360344257
XEX60,2941.5984533550013
SFC11,-569.7540311336363
QGV13,3660.172312896705
YJY59,4082.701483057637
LHQ13,1048.2927418181694
FWW89,1515.9393001554445
AAS12,2554.3132994508596
YHP10,2839.086117748931
JZL95,4087.3942336395908
DBJ11,4028.53446702284
BNO11,4377.900213680787
MBQ12,3625.913889519337
NQE11,3660.5485515202577
BJQ15,746.0558289885457
